approved	synonyms
ACLS	NA
AD5	NA
ADFN	NA
AF8T	NA
AFA	NA
AFD1	NA
AGMX2	NA
AIC	NA
AIH3	NA
AIS1	NA
AIS2	NA
AIS3	NA
ALS3	NA
ALS5	NA
ALS7	NA
AMCN	AMC,AMCN1,AMC1
ANIB1	NA
ANIB2	NA
ANIB3	NA
ANIB4	NA
ANOP1	MCOPS4
ARVD3	NA
ARVD4	NA
ASD1	NA
ATD	NA
ATHS	ALP
AUNX1	DFNX5
AUTS1	NA
AVSD1	AVSD,AVCD,VSD1
AZF1	AZFa,AZF
BCL5	NA
BMIQ1	NA
BMIQ2	NA
BMIQ3	NA
BMIQ5	NA
BMIQ6	NA
BRCA3	BRCAX
BTS1	NA
CACD	NA
CANDN1	FCNC,CANDF3
CCA1	CTRCT7
CCAL1	CPDD
CCT	NA
CCV	CTRCT8
CDAN3	CDAIII
CDB2	CDTB
CDL1	CDL
CDL2	NA
CELIAC2	CD,GSE
CEPA	NA
CFM1	NA
CFM2	NA
CGF1	NA
CHED1	CHED
CKBE	NA
CLA3	CPD1
CLAM	PCH3
CLN9	NA
CMD1B	FDC
CMD1F	CDCD3,LGMD1E
CMD1H	NA
CMD1K	NA
CMD1Q	NA
CMM	CMM1,DNS
CMR1A	NA
CMR2A	NA
CMR3A	NA
CMT1A	HMSNIA
CMT2B	NA
CMTX2	NA
CMTX3	NA
CNA1	NA
CNC2	CNC
COD2	CORDX2
CORD1	CORD
CORD4	NA
CORD8	NA
CORD17	NA
CPAT1	NA
CTAA1	NA
CTAA2	NA
CTD	NA
CTHM	NA
CTPL1	CAAR
CXB3S	NA
CYMD	DCMD,MDDC
DDU	NA
DFN5	NA
DFN8	NA
DFNA7	NA
DFNA16	NA
DFNA18	NA
DFNA19	NA
DFNA21	NA
DFNA24	NA
DFNA27	NA
DFNA29	NA
DFNA30	NA
DFNA31	NA
DFNA32	NA
DFNA33	NA
DFNA34	NA
DFNA35	NA
DFNA37	NA
DFNA40	NA
DFNA42	DFNA52
DFNA43	NA
DFNA45	NA
DFNA46	NA
DFNA47	NA
DFNA48	NA
DFNA49	NA
DFNA52	DFNA42
DFNA53	NA
DFNA54	NA
DFNA55	NA
DFNA57	NA
DFNA58	NA
DFNA59	NA
DFNA60	NA
DFNA61	NA
DFNA62	NA
DFNA63	NA
DFNB5	NA
DFNB13	NA
DFNB14	NA
DFNB17	NA
DFNB19	NA
DFNB20	NA
DFNB26	NA
DFNB27	NA
DFNB32	NA
DFNB33	NA
DFNB34	NA
DFNB38	NA
DFNB40	NA
DFNB43	NA
DFNB44	NA
DFNB45	NA
DFNB46	NA
DFNB47	NA
DFNB50	NA
DFNB51	NA
DFNB54	NA
DFNB55	NA
DFNB56	NA
DFNB57	NA
DFNB58	NA
DFNB60	NA
DFNB62	NA
DFNB65	NA
DFNB66	NA
DFNB68	NA
DFNB69	NA
DFNB71	NA
DFNB75	NA
DFNB78	NA
DFNB80	NA
DFNB81	NA
DFNB83	NA
DFNB85	NA
DFNB87	NA
DFNB90	NA
DFNB92	NA
DFNB93	NA
DFNB96	NA
DFNB100	NA
DFNM1	NA
DFNM2	NA
DFNX3	DFN4
DFNY1	NA
DIANPH	NA
DIH1	HCD
DURS1	NA
DWS	NA
DYT2	NA
DYT7	NA
DYT13	NA
DYT15	NA
DYT17	NA
DYT21	NA
DYT22	NA
DYX1	RD
DYX2	NA
DYX3	NA
DYX4	NA
DYX5	NA
DYX6	NA
DYX7	NA
DYX8	NA
DYX9	DXY9
E11S	NA
EBM	NA
EBR3	ULG4
EBR4	NA
ECA1	NA
EEC1	EEC
EEC2	NA
EEGV1	NA
EGI	NA
EJM2	EIG7
EMWX	NA
ENUR1	NA
ENUR2	NA
ERCM1	NA
ETM1	FET1
ETM2	ETM
EVR3	NA
EXT3	EXT2
EYCL1	GEY
FCMTE1	BAFME1,FAME1
FCMTE2	BAFME2,FAME2,ADCME
FCMTE3	BAFME,FAME
FCP1	FCPX,HBFQTL3
FEB1	NA
FEB2	NA
FEB4	NA
FEB5	NA
FEB6	NA
FEB7	NA
FGS2	NA
FGS3	NA
FGS5	NA
FMR3	NA
FRDA2	NA
FSHMD1A	FMD,FSHD
FSHMD1B	NA
FUSE	NA
GBD2	NA
GBD3	NA
GCY	STA,TSY
GINGF2	GGF2,HGF2
GINGF3	NA
GINGF4	NA
GLC1B	NA
GLC1C	NA
GLC1D	NA
GLC1H	NA
GLC1I	NA
GLC1J	JOAG2
GLC1K	JOAG3
GLC1L	NA
GLC1M	NA
GLC1N	NA
GLC1P	NA
GLC1Q	NA
GLC2A	NA
GLC3B	NA
