genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
CMM|MLM|DNS	CMM|CDKN2A|CMM	CMM,CDKN2A	Melanoma, cutaneous malignant, 1	Autosomal dominant	155600	155600	1	some linkage studies negative; see 9p
CTRCT8|CCV	CCV|CCV	CCV	Cataract 8, multiple types	Autosomal dominant	115665	115665	1	linked to Rh in Scottish family
DYX8	DYX8	DYX8	Dyslexia, susceptibility to, 8	Multifactorial; Autosomal dominant	608995	608995	1	between D1S552 and D1S1622
IBD7	IBD7	IBD7	Inflammatory bowel disease 7	None	605225	605225	1	associated with rs6426833
MYP14	MYP14	MYP14	Myopia 14	None	610320	610320	1	between D1S552 and D1S1622
PSORS7	PSORS7	PSORS7	Psoriasis susceptibility 7	None	605606	605606	1	NA
SCAR4|SCASI	SCASI|SCASI	SCASI	Spinocerebellar ataxia, autosomal recessive 4	Autosomal recessive	607317	607317	1	NA
ISG15|G1P2|IFI15|IMD38	ISG15|ISG15|ISG15|NA	ISG15	Immunodeficiency 38	Autosomal recessive	147571	616126	1	NA
AGRN|CMS8	AGRN|NA	AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	Autosomal recessive	103320	615120	1	NA
TNFRSF4|TXGP1L|OX40|ACT35|IMD16	TNFRSF4|TNFRSF4|TNFRSF4|TNFRSF4|NA	TNFRSF4	?Immunodeficiency 16	None	600315	615593	1	mutation identified in 1 IMD16 family
B3GALT6|SEMDJL1|EDSP2	B3GALT6|NA|NA	B3GALT6	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	Autosomal recessive	615291	271640	1	NA
B3GALT6|SEMDJL1|EDSP2	B3GALT6|NA|NA	B3GALT6	Ehlers-Danlos syndrome, progeroid type, 2	Autosomal recessive	615291	615349	1	NA
DVL1|DRS2	DVL1|NA	DVL1	Robinow syndrome, autosomal dominant 2	Autosomal dominant	601365	616331	1	NA
TMEM240|C1orf70|SCA21	TMEM240|TMEM240|NA	TMEM240	Spinocerebellar ataxia 21	Autosomal dominant	616101	607454	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, juvenile myoclonic, susceptibility to	Autosomal dominant	137163	613060	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, idiopathic generalized, 10	Autosomal dominant	137163	613060	1	NA
GABRD|GEFSP5|EIG10|EJM7	GABRD|NA|NA|NA	GABRD	Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to	Autosomal dominant	137163	613060	1	NA
SKI|SGS	SKI|FBN1	SKI,FBN1	Shprintzen-Goldberg syndrome	Autosomal dominant	164780	182212	1	formerly mapped to 1q22-q24
DYT13	DYT13	DYT13	Dystonia 13, torsion	Autosomal dominant	607671	607671	1	NA
PEX10|NALD|PBD6A|PBD6B	PEX10|NA|NA|NA	PEX10	Peroxisome biogenesis disorder 6B	Autosomal recessive	602859	614871	1	NA
