phenotype	phenotypeInheritance	phenotypeMimNumber	chromosome	gene	geneMimNumber	comments
NA	NA	NA	1	AD7CNTP	607413	NA
Alkaline phosphatase, plasma level of, QTL 2	None	612367	1	ALPQTL2	612367	linkage with rs1780324
Anorexia nervosa, susceptibility to, 1	None	606788	1	ANON1	606788	NA
Basal cell carcinoma, susceptibility to, 1	None	605462	1	BCC1	605462	associated with rs7538876
Bone mineral density QTL 3	None	606928	1	BMND3	606928	?another locus at 3p21
Melanoma, cutaneous malignant, 1	Autosomal dominant	155600	1	CMM,CDKN2A	155600	some linkage studies negative; see 9p
Cataract 8, multiple types	Autosomal dominant	115665	1	CCV	115665	linked to Rh in Scottish family
Chromosome 1p36 deletion syndrome	Isolated cases	607872	1	C1DELp36,DEL1p36	607872	contiguous gene deletion syndrome
Dyslexia, susceptibility to, 8	Multifactorial; Autosomal dominant	608995	1	DYX8	608995	between D1S552 and D1S1622
NA	NA	NA	1	HLM2,ERPL1	131190	NA
Inflammatory bowel disease 7	None	605225	1	IBD7	605225	associated with rs6426833
Multiple sclerosis, susceptibility to, 4	None	612596	1	MS4	612596	associated with rs10492972
Myopia 14	None	610320	1	MYP14	610320	between D1S552 and D1S1622
Psoriasis susceptibility 7	None	605606	1	PSORS7	605606	NA
NA	NA	NA	1	PTPRZ2	604008	NA
NA	NA	NA	1	TFS1,CDKN2A,SAI1	154280	NA
Spinocerebellar ataxia, autosomal recessive 4	Autosomal recessive	607317	1	SCASI	607317	NA
NA	NA	NA	1	NOC2L	610770	NA
NA	NA	NA	1	PERM1	615921	NA
NA	NA	NA	1	HES4	608060	NA
Immunodeficiency 38	Autosomal recessive	616126	1	ISG15,IMD38	147571	NA
Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	Autosomal recessive	615120	1	AGRN,CMS8	103320	NA
NA	NA	NA	1	MIR200B	612091	NA
NA	NA	NA	1	MIR200A	612090	NA
NA	NA	NA	1	MIR429	612094	NA
NA	NA	NA	1	TNFRSF18	603905	NA
?Immunodeficiency 16	None	615593	1	TNFRSF4,IMD16	600315	mutation identified in 1 IMD16 family
NA	NA	NA	1	SDF4,CAB45	614282	NA
Ehlers-Danlos syndrome, progeroid type, 2	Autosomal recessive	615349	1	B3GALT6,SEMDJL1,EDSP2	615291	NA
Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	Autosomal recessive	271640	1	B3GALT6,SEMDJL1,EDSP2	615291	NA
NA	NA	NA	1	FAM132A	616593	NA
NA	NA	NA	1	SCNN1D	601328	NA
NA	NA	NA	1	CPSF3L,RC68	611354	NA
NA	NA	NA	1	CPTP	615467	NA
NA	NA	NA	1	TAS1R3	605865	NA
Robinow syndrome, autosomal dominant 2	Autosomal dominant	616331	1	DVL1,DRS2	601365	NA
NA	NA	NA	1	AURKAIP1	609183	NA
NA	NA	NA	1	CCNL2	613482	NA
NA	NA	NA	1	MRPL20	611833	NA
NA	NA	NA	1	VWA1	611901	NA
NA	NA	NA	1	ATAD3B	612317	NA
NA	NA	NA	1	ATAD3A	612316	NA
Spinocerebellar ataxia 21	Autosomal dominant	607454	1	SCA21,TMEM240	616101	NA
NA	NA	NA	1	MIB2	611141	NA
NA	NA	NA	1	MMP23B	603321	NA
NA	NA	NA	1	CDK19,CDK11B,DNAJC3	176873	NA
NA	NA	NA	1	MMP23B,MMP23A	603320	NA
NA	NA	NA	1	CDK11A	116951	NA
NA	NA	NA	1	NADK	611616	NA
NA	NA	NA	1	GNB1	139380	NA
NA	NA	NA	1	CALML6	610171	NA
Epilepsy, idiopathic generalized, 10	Autosomal dominant	613060	1	GABRD,GEFSP5,EJM7,EIG10	137163	NA
Epilepsy, generalized, with febrile seizures plus, type 5, susceptibility to	Autosomal dominant	613060	1	GABRD,GEFSP5,EJM7,EIG10	137163	NA
Epilepsy, juvenile myoclonic, susceptibility to	Autosomal dominant	613060	1	GABRD,GEFSP5,EJM7,EIG10	137163	NA
NA	NA	NA	1	PRKCZ	176982	NA
NA	NA	NA	1	C1orf86	615183	NA
Shprintzen-Goldberg syndrome	Autosomal dominant	182212	1	SKI,FBN1	164780	formerly mapped to 1q22-q24
Dystonia 13, torsion	Autosomal dominant	607671	1	DYT13	607671	NA
Kondoh syndrome	Autosomal recessive	606242	1	KONDS	606242	linked to rs966321 and rs1441834
Peroxisome biogenesis disorder 6B	Autosomal recessive	614871	1	PEX10,PBD6B,PBD6A,NALD	602859	NA
Peroxisome biogenesis disorder 6A (Zellweger)	None	614870	1	PEX10,PBD6B,PBD6A,NALD	602859	NA
NA	NA	NA	1	PLCH2	612836	NA
NA	NA	NA	1	PANK4	606162	NA
