genes	hgnc_synonyms	hgnc_genes	phenotype	phenotypeInheritance	geneMimNumber	phenotypeMimNumber	chromosome	comments
AD7CNTP	NA	NA	NA	NA	607413	NA	1	NA
ALPQTL2	NA	NA	Alkaline phosphatase, plasma level of, QTL 2	None	612367	612367	1	linkage with rs1780324
ANON1	NA	NA	Anorexia nervosa, susceptibility to, 1	None	606788	606788	1	NA
BCC1	NA	NA	Basal cell carcinoma, susceptibility to, 1	None	605462	605462	1	associated with rs7538876
BMND3	NA	NA	Bone mineral density QTL 3	None	606928	606928	1	?another locus at 3p21
CMM|MLM|DNS	CMM|CDKN2A|CMM	CMM,CDKN2A	Melanoma, cutaneous malignant, 1	Autosomal dominant	155600	155600	1	some linkage studies negative; see 9p
CTRCT8|CCV	CCV|CCV	CCV	Cataract 8, multiple types	Autosomal dominant	115665	115665	1	linked to Rh in Scottish family
DEL1p36|C1DELp36	NA|NA	NA	Chromosome 1p36 deletion syndrome	Isolated cases	607872	607872	1	contiguous gene deletion syndrome
DYX8	DYX8	DYX8	Dyslexia, susceptibility to, 8	Autosomal dominant; Multifactorial	608995	608995	1	between D1S552 and D1S1622
ERPL1|HLM2	NA|NA	NA	NA	NA	131190	NA	1	NA
IBD7	IBD7	IBD7	Inflammatory bowel disease 7	None	605225	605225	1	associated with rs6426833
MS4	NA	NA	Multiple sclerosis, susceptibility to, 4	None	612596	612596	1	associated with rs10492972
MYP14	MYP14	MYP14	Myopia 14	None	610320	610320	1	between D1S552 and D1S1622
PSORS7	PSORS7	PSORS7	Psoriasis susceptibility 7	None	605606	605606	1	NA
PTPRZ2	PTPRZ2	PTPRZ2	NA	NA	604008	NA	1	NA
SAI1|MTS1|TFS1	SAI1|CDKN2A,S100A4|NA	S100A4,CDKN2A,SAI1	NA	NA	154280	NA	1	NA
SCAR4|SCASI	SCASI|SCASI	SCASI	Spinocerebellar ataxia, autosomal recessive 4	Autosomal recessive	607317	607317	1	NA
SAMD11|MRS	SAMD11|MROS,DEFA1	MROS,DEFA1,SAMD11	NA	NA	616765	NA	1	NA
NOC2L|NIR	NOC2L|NOC2L	NOC2L	NA	NA	610770	NA	1	NA
PERM1|C1orf170	PERM1|PERM1	PERM1	NA	NA	615921	NA	1	NA
HES4	HES4	HES4	NA	NA	608060	NA	1	NA
ISG15|G1P2|IFI15|IMD38	ISG15|ISG15|ISG15|NA	ISG15	Immunodeficiency 38	Autosomal recessive	147571	616126	1	NA
AGRN|CMS8	AGRN|NA	AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects	Autosomal recessive	103320	615120	1	NA
MIR200B|MIRN200B	MIR200B|MIR200B	MIR200B	NA	NA	612091	NA	1	NA
MIR200A|MIRN200A	MIR200A|MIR200A	MIR200A	NA	NA	612090	NA	1	NA
MIR429|MIRN429	MIR429|MIR429	MIR429	NA	NA	612094	NA	1	NA
TNFRSF18|AITR|GITR	TNFRSF18|TNFRSF18|TNFRSF18	TNFRSF18	NA	NA	603905	NA	1	NA
TNFRSF4|TXGP1L|OX40|ACT35|IMD16	TNFRSF4|TNFRSF4|TNFRSF4|TNFRSF4|NA	TNFRSF4	?Immunodeficiency 16	None	600315	615593	1	mutation identified in 1 IMD16 family
SDF4|CAB45	SDF4|NA	SDF4	NA	NA	614282	NA	1	NA
B3GALT6|SEMDJL1|EDSP2	B3GALT6|NA|NA	B3GALT6	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	Autosomal recessive	615291	271640	1	NA
B3GALT6|SEMDJL1|EDSP2	B3GALT6|NA|NA	B3GALT6	Ehlers-Danlos syndrome, progeroid type, 2	Autosomal recessive	615291	615349	1	NA
FAM132A|C1QDC2|C1QTNF12	FAM132A|FAM132A|FAM132A	FAM132A	NA	NA	616593	NA	1	NA
SCNN1D	SCNN1D	SCNN1D	NA	NA	601328	NA	1	NA
CPSF3L|INTS11|RC68	CPSF3L|CPSF3L|NA	CPSF3L	NA	NA	611354	NA	1	NA
GLTPD1|CPTP	CPTP|CPTP	CPTP	NA	NA	615467	NA	1	NA
TAS1R3|T1R3	TAS1R3|TAS1R3	TAS1R3	NA	NA	605865	NA	1	NA
DVL1|DRS2	DVL1|NA	DVL1	Robinow syndrome, autosomal dominant 2	Autosomal dominant	601365	616331	1	NA
AURKAIP1|AKIP|AIP	AURKAIP1|AURKAIP1|AIP,AURKAIP1	AURKAIP1,AIP	NA	NA	609183	NA	1	NA
CCNL2	CCNL2	CCNL2	NA	NA	613482	NA	1	NA
MRPL20	MRPL20	MRPL20	NA	NA	611833	NA	1	NA
VWA1|WARP	VWA1|VWA1	VWA1	NA	NA	611901	NA	1	NA
ATAD3B|TOB3|KIAA1273	ATAD3B|ATAD3B|ATAD3B	ATAD3B	NA	NA	612317	NA	1	NA
ATAD3A	ATAD3A	ATAD3A	NA	NA	612316	NA	1	NA
TMEM240|C1orf70|SCA21	TMEM240|TMEM240|NA	TMEM240	Spinocerebellar ataxia 21	Autosomal dominant	616101	607454	1	NA
MIB2	MIB2	MIB2	NA	NA	611141	NA	1	NA
MMP23B|MMP22	MMP23B|MMP23B	MMP23B	NA	NA	603321	NA	1	NA
